"","word","n"
"1","hotel",38778
"2","location",36855
"3","staff",36450
"4","breakfast",32513
"5","clean",17190
"6","nice",15792
"7","friendly",15401
"8","helpful",14035
"9","station",12851
"10","bed",10616
"11","comfortable",10252
"12","excellent",9010
"13","stay",8986
"14","close",8928
"15","bathroom",8023
"16","walk",6923
"17","night",6480
"18","service",6386
"19","shower",6216
"20","bit",5994
"21","perfect",5730
"22","train",5687
"23","time",5516
"24","day",5243
"25","coffee",5166
"26","reception",5145
"27","water",5063
"28","city",5010
"29","food",5004
"30","metro",4906
"31","free",4847
"32","floor",4565
"33","check",4238
"34","walking",4183
"35","view",4035
"36","amazing",3977
"37","main",3944
"38","restaurant",3927
"39","lovely",3925
"40","easy",3783
"41","price",3665
"42","bar",3623
"43","minutes",3497
"44","restaurants",3459
"45","quiet",3437
"46","central",3353
"47","air",3343
"48","spacious",3338
"49","facilities",3311
"50","people",3238
"51","modern",3213
"52","front",3181
"53","beds",3176
"54","wifi",3121
"55","distance",3095
"56","hot",3025
"57","convenient",3013
"58","money",2968
"59","beautiful",2960
"60","rome",2899
"61","bus",2797
"62","door",2795
"63","super",2747
"64","noisy",2738
"65","street",2722
"66","located",2704
"67","center",2607
"68","stayed",2607
"69","recommend",2603
"70","desk",2591
"71","bad",2574
"72","extremely",2534
"73","morning",2517
"74","noise",2487
"75","size",2460
"76","window",2445
"77","parking",2435
"78","building",2423
"79","fantastic",2419
"80","poor",2415
"81","tea",2275
"82","airport",2265
"83","lot",2257
"84","taipei",2238
"85","pool",2223
"86","cold",2185
"87","loved",2182
"88","wonderful",2107
"89","extra",2079
"90","toilet",2071
"91","booking.com",2065
"92","hard",2036
"93","mrt",2034
"94","comfy",2029
"95","milan",1952
"96","booked",1947
"97","luggage",1911
"98","buffet",1889
"99","centre",1879
"100","space",1852
"101","nearby",1831
"102","quality",1827
"103","access",1770
"104","shopping",1765
"105","hear",1763
"106","expensive",1761
"107","english",1745
"108","hotels",1727
"109","feel",1681
"110","choice",1675
"111","venice",1674
"112","provided",1658
"113","lobby",1655
"114","windows",1633
"115","guests",1631
"116","smell",1616
"117","family",1603
"118","design",1601
"119","taxi",1598
"120","top",1594
"121","days",1577
"122","sleep",1575
"123","attractions",1571
"124","property",1570
"125","lift",1568
"126","pay",1568
"127","min",1566
"128","lots",1557
"129","florence",1553
"130","star",1548
"131","tv",1540
"132","experience",1536
"133","staffs",1531
"134","drinks",1512
"135","terrace",1496
"136","fresh",1484
"137","short",1477
"138","conditioning",1475
"139","duomo",1466
"140","elevator",1447
"141","included",1429
"142","variety",1425
"143","told",1421
"144","dinner",1418
"145","towels",1394
"146","minute",1392
"147","double",1385
"148","warm",1374
"149","late",1372
"150","bath",1370
"151","booking",1364
"152","arrived",1332
"153","15",1330
"154","pillows",1324
"155","translation",1323
"156","balcony",1314
"157","car",1313
"158","originalshow",1309
"159","nights",1296
"160","pretty",1290
"161","times",1286
"162","stop",1280
"163","pleasant",1269
"164","selection",1269
"165","paid",1248
"166","options",1244
"167","found",1232
"168","it’s",1232
"169","mins",1232
"170","cleanliness",1228
"171","termini",1217
"172","polite",1207
"173","safe",1201
"174","left",1198
"175","staying",1194
"176","public",1193
"177","visit",1190
"178","shops",1188
"179","roof",1178
"180","cleaning",1158
"181","trip",1154
"182","didn’t",1151
"183","eat",1122
"184","machine",1119
"185","limited",1118
"186","inside",1113
"187","welcoming",1110
"188","expected",1106
"189","light",1103
"190","change",1100
"191","dirty",1100
"192","eggs",1096
"193","enjoyed",1096
"194","delicious",1095
"195","difficult",1095
"196","walls",1094
"197","fine",1093
"198","person",1089
"199","single",1076
"200","suite",1076
"201","20",1074
"202","shuttle",1068
"203","hours",1066
"204","stuff",1065
"205","rooftop",1064
"206","sound",1053
"207","love",1051
"208","decor",1046
"209","evening",1031
"210","basic",1030
"211","leave",1028
"212","bread",1024
"213","highly",1021
"214","style",1012
"215","local",1010
"216","30",999
"217","transport",987
"218","accommodating",983
"219","offered",981
"220","dark",971
"221","professional",968
"222","huge",967
"223","slow",965
"224","superb",965
"225","due",964
"226","receptionist",964
"227","tourist",963
"228","uncomfortable",957
"229","bedroom",953
"230","happy",950
"231","worth",948
"232","garden",947
"233","italian",946
"234","standard",940
"235","milano",938
"236","stairs",935
"237","charge",934
"238","la",928
"239","steps",927
"240","choices",918
"241","entrance",917
"242","absolutely",910
"243","vatican",910
"244","ximending",910
"245","subway",902
"246","tiny",902
"247","apartment",897
"248","rude",897
"249","plenty",892
"250","arrival",885
"251","24",878
"252","wait",873
"253","hour",872
"254","cleaned",867
"255","internet",862
"256","card",860
"257","euros",856
"258","italy",849
"259","amenities",848
"260","canal",842
"261","book",841
"262","market",840
"263","views",840
"264","busy",839
"265","drink",839
"266","comfort",834
"267","square",833
"268","special",827
"269","ac",826
"270","travel",825
"271","loud",821
"272","provide",819
"273","euro",817
"274","gym",810
"275","offer",803
"276","kettle",797
"277","checked",796
"278","helped",794
"279","issue",788
"280","road",788
"281","wall",788
"282","easily",783
"283","laundry",783
"284","level",782
"285","recommended",779
"286","awesome",773
"287","san",767
"288","spa",757
"289","upgrade",757
"290","thin",755
"291","corner",741
"292","major",741
"293","home",739
"294","fruit",738
"295","closed",735
"296","centrale",734
"297","return",733
"298","expect",731
"299","attentive",729
"300","cool",728
"301","ximen",728
"302","looked",726
"303","served",718
"304","marco",713
"305","decent",711
"306","furniture",709
"307","changed",706
"308","business",698
"309","complimentary",698
"310","terrible",696
"311","phone",695
"312","fridge",694
"313","personal",694
"314","cost",691
"315","table",690
"316","couple",689
"317","facility",689
"318","reach",687
"319","temperature",684
"320","town",680
"321","coming",678
"322","upgraded",676
"323","sites",675
"324","fi",667
"325","fabulous",666
"326","mini",661
"327","st",661
"328","wi",661
"329","request",655
"330","tram",653
"331","bigger",650
"332","park",649
"333","simple",647
"334","broken",646
"335","guest",645
"336","sights",645
"337","line",644
"338","lady",642
"339","interior",641
"340","efficient",640
"341","including",639
"342","snacks",639
"343","customer",638
"344","everyday",634
"345","middle",634
"346","properly",624
"347","private",617
"348","rest",617
"349","system",617
"350","low",616
"351","charged",615
"352","key",615
"353","daily",612
"354","ready",612
"355","information",611
"356","transportation",609
"357","fast",607
"358","cozy",606
"359","kitchen",606
"360","decorated",605
"361","dining",605
"362","iron",604
"363","rate",604
"364","soft",602
"365","railway",601
"366","atmosphere",598
"367","piazza",597
"368","connection",596
"369","choose",595
"370","enjoy",595
"371","glass",594
"372","set",593
"373","clothes",589
"374","bathrooms",587
"375","manager",584
"376","cheap",583
"377","wasn’t",580
"378","speak",579
"379","menu",578
"380","real",577
"381","reasonable",576
"382","bottle",572
"383","position",570
"384","called",564
"385","services",562
"386","con",561
"387","accessible",557
"388","call",557
"389","bars",553
"390","bags",551
"391","pictures",548
"392","waiting",548
"393","wine",548
"394","lighting",542
"395","friends",541
"396","juice",541
"397","average",540
"398","option",540
"399","stars",540
"400","kids",538
"401","lack",538
"402","mattress",537
"403","hair",535
"404","pillow",530
"405","toiletries",527
"406","lounge",526
"407","heart",524
"408","start",522
"409","fault",521
"410","conditioner",520
"411","carpet",519
"412","brilliant",514
"413","proximity",510
"414","doors",507
"415","flight",507
"416","exit",506
"417","heating",506
"418","renovated",506
"419","makes",505
"420","neighborhood",503
"421","items",501
"422","checking",499
"423","disappointed",496
"424","don’t",496
"425","sit",494
"426","stations",492
"427","concierge",488
"428","tasty",487
"429","ideal",486
"430","takes",485
"431","housekeeping",484
"432","swimming",484
"433","condition",483
"434","pressure",483
"435","run",483
"436","bathtub",480
"437","colosseum",478
"438","stops",477
"439","tidy",477
"440","care",476
"441","cosy",475
"442","slightly",471
"443","opposite",470
"444","move",469
"445","crowded",466
"446","store",466
"447","floors",465
"448","disappointing",464
"449","half",463
"450","roma",463
"451","appreciated",462
"452","corridor",462
"453","equipped",462
"454","channels",456
"455","breakfasts",455
"456","decoration",455
"457","tired",453
"458","attention",450
"459","bonus",450
"460","dated",448
"461","requested",448
"462","situated",447
"463","worst",447
"464","sightseeing",446
"465","expectations",444
"466","foot",444
"467","strong",442
"468","deal",441
"469","milk",441
"470","outstanding",441
"471","tour",441
"472","aircon",440
"473","supermarket",440
"474","bring",434
"475","quick",434
"476","washing",434
"477","convenience",431
"478","lifts",430
"479","tax",430
"480","photos",429
"481","complain",428
"482","stylish",428
"483","boutique",427
"484","trevi",427
"485","11",426
"486","lights",426
"487","control",424
"488","improved",424
"489","sheets",424
"490","streets",424
"491","personnel",420
"492","common",419
"493","dryer",419
"494","underground",419
"495","perfectly",418
"496","literally",416
"497","sleeping",415
"498","didnt",414
"499","taking",413
"500","relax",410
"501","tub",409
"502","walked",409
"503","ground",406
"504","house",406
"505","understand",405
"506","cheese",404
"507","el",404
"508","nicely",403
"509","designed",402
"510","prices",402
"511","talking",401
"512","travelling",401
"513","couldn’t",400
"514","de",398
"515","exceptional",398
"516","directly",397
"517","accommodation",396
"518","incredibly",396
"519","guy",391
"520","croissants",390
"521","mirror",390
"522","allowed",388
"523","continental",385
"524","head",385
"525","horrible",382
"526","sign",381
"527","smoking",381
"528","amount",380
"529","fruits",380
"530","till",380
"531","heard",378
"532","leaving",377
"533","superior",377
"534","site",376
"535","fixed",375
"536","touch",375
"537","normal",374
"538","traffic",374
"539","pastries",373
"540","sink",373
"541","issues",371
"542","afternoon",370
"543","chinese",370
"544","courteous",370
"545","ceiling",368
"546","compared",368
"547","facing",368
"548","spread",366
"549","fountain",365
"550","shop",364
"551","curtain",362
"552","taste",362
"553","birthday",359
"554","separate",359
"555","fan",358
"556","100",357
"557","12",357
"558","arrive",357
"559","entire",356
"560","helpfull",356
"561","totally",356
"562","credit",355
"563","elevators",355
"564","wide",355
"565","children",354
"566","slippers",354
"567","rialto",353
"568","mind",352
"569","paper",352
"570","reservation",351
"571","narrow",350
"572","smile",350
"573","bacon",349
"574","luxury",348
"575","owner",348
"576","attitude",347
"577","district",347
"578","towel",347
"579","dishes",345
"580","heat",345
"581","map",345
"582","shampoo",345
"583","charming",344
"584","renovation",344
"585","handy",343
"586","mentioned",342
"587","relaxing",342
"588","priced",341
"589","stores",341
"590","awful",340
"591","buy",340
"592","surprise",340
"593","buses",339
"594","eating",339
"595","spoke",339
"596","ride",338
"597","adequate",337
"598","courtyard",337
"599","boat",336
"600","downstairs",336
"601","additional",335
"602","proof",335
"603","sweet",335
"604","grand",334
"605","questions",334
"606","music",333
"607","complaints",332
"608","tables",331
"609","twin",331
"610","maintained",330
"611","wet",330
"612","construction",329
"613","incredible",328
"614","website",328
"615","00",327
"616","bridge",326
"617","heavy",326
"618","shared",326
"619","received",325
"620","traveling",325
"621","cafe",324
"622","feeling",324
"623","meal",324
"624","spot",324
"625","completely",323
"626","directions",323
"627","simply",323
"628","smoke",323
"629","checkout",322
"630","25",321
"631","carry",321
"632","met",321
"633","proper",321
"634","week",321
"635","del",320
"636","weak",319
"637","world",319
"638","hand",317
"639","informed",317
"640","add",316
"641","recommendations",316
"642","fix",315
"643","strange",315
"644","2nd",312
"645","annoying",312
"646","sized",311
"647","storage",311
"648","bright",310
"649","cramped",310
"650","impossible",309
"651","visiting",309
"652","appointed",307
"653","earlier",307
"654","customers",306
"655","dont",304
"656","job",304
"657","luggages",304
"658","pm",304
"659","fair",303
"660","situation",303
"661","immediately",302
"662","minor",302
"663","western",302
"664","spend",301
"665","beautifully",300
"666","junior",300
"667","hotel's",299
"668","negative",299
"669","wrong",299
"670","scrambled",298
"671","improve",297
"672","smelled",297
"673","type",297
"674","reason",296
"675","soap",296
"676","taiwan",296
"677","moved",295
"678","counter",294
"679","machines",294
"680","power",294
"681","prepared",293
"682","serve",293
"683","management",292
"684","marks",292
"685","tourists",291
"686","pick",290
"687","toast",290
"688","block",289
"689","luxurious",289
"690","spanish",289
"691","bottles",288
"692","minibar",287
"693","slept",287
"694","overlooking",286
"695","fairly",285
"696","50",283
"697","weather",283
"698","cups",282
"699","hospitality",282
"700","trains",282
"701","cafes",280
"702","hall",280
"703","mention",280
"704","overpriced",280
"705","details",279
"706","foods",279
"707","surprised",279
"708","1st",278
"709","larger",278
"710","garage",277
"711","muy",277
"712","summer",277
"713","missing",275
"714","spent",275
"715","taxis",275
"716","payment",274
"717","cup",273
"718","curtains",273
"719","running",273
"720","hope",272
"721","trouble",272
"722","specially",271
"723","stunning",271
"724","quickly",270
"725","king",269
"726","nearest",269
"727","feels",268
"728","can’t",267
"729","heater",267
"730","baby",266
"731","paying",266
"732","range",266
"733","wardrobe",266
"734","advice",265
"735","wash",264
"736","surrounding",263
"737","gorgeous",262
"738","guess",262
"739","finally",261
"740","river",261
"741","box",260
"742","brought",260
"743","midnight",260
"744","neighbourhood",260
"745","hang",259
"746","husband",259
"747","historical",258
"748","board",257
"749","hop",257
"750","wife",257
"751","neat",256
"752","suggest",256
"753","chose",255
"754","fit",254
"755","sitting",254
"756","meant",253
"757","soundproof",253
"758","suitcases",252
"759","team",252
"760","answer",251
"761","historic",251
"762","suitable",251
"763","aware",250
"764","centrally",250
"765","chair",250
"766","unfriendly",250
"767","3rd",249
"768","conveniently",249
"769","security",249
"770","sofa",249
"771","outdoor",248
"772","receptionists",248
"773","standards",248
"774","avoid",247
"775","dust",247
"776","firm",247
"777","hallway",247
"778","maintenance",247
"779","spotless",247
"780","added",246
"781","confortable",246
"782","speaking",246
"783","cash",245
"784","european",245
"785","noises",245
"786","reviews",244
"787","weird",244
"788","europe",243
"789","prefer",243
"790","previous",243
"791","empty",242
"792","lost",242
"793","returned",242
"794","ventilation",242
"795","40",241
"796","note",241
"797","varied",241
"798","advertised",240
"799","exceptionally",240
"800","means",240
"801","requests",240
"802","elegant",239
"803","mall",239
"804","offers",239
"805","advance",238
"806","flow",238
"807","black",237
"808","downtown",237
"809","egg",236
"810","step",236
"811","blanket",235
"812","fee",235
"813","arriving",234
"814","cleaner",234
"815","pricey",234
"816","round",234
"817","budget",233
"818","en",233
"819","environment",233
"820","giving",232
"821","tight",232
"822","chairs",231
"823","complete",231
"824","tickets",231
"825","privacy",230
"826","showers",230
"827","smelly",230
"828","started",230
"829","arranged",229
"830","cakes",229
"831","catch",229
"832","fun",229
"833","art",228
"834","linen",228
"835","living",228
"836","bag",227
"837","brand",227
"838","ham",227
"839","secure",227
"840","bother",226
"841","corridors",226
"842","life",226
